Temperature_C,Humidity_Pct,Soil_Moisture_Pct,Plant_Risk_Level
38.96,26.32,69.8,High Risk
27.64,52.79,40.67,Medium Risk
38.84,29.41,75.71,High Risk
34.68,32.82,55.94,Medium Risk
18.82,65.11,15.61,Medium Risk
43.99,47.63,73.01,High Risk
37.31,87.19,42.82,Medium Risk
39.73,42.55,20.47,High Risk
19.73,70.28,19.91,Medium Risk
28.53,50.77,57.73,Medium Risk
25.92,67.46,12.18,Medium Risk
42.71,64.21,29.82,Medium Risk
34.47,53.0,22.62,Medium Risk
40.8,88.86,42.95,Medium Risk
28.6,40.44,39.54,Medium Risk
22.33,32.31,46.49,Medium Risk
32.46,67.39,30.84,Medium Risk
16.1,77.91,13.94,Medium Risk
40.36,27.11,51.76,High Risk
33.74,51.36,36.04,Medium Risk
35.98,81.74,52.86,Medium Risk
24.15,72.52,19.29,Medium Risk
43.41,85.82,14.06,High Risk
42.17,55.83,27.5,Medium Risk
38.43,67.97,38.77,Medium Risk
20.97,40.04,38.5,Medium Risk
30.37,84.84,65.37,Medium Risk
15.43,48.0,35.45,Medium Risk
19.61,74.11,48.07,Medium Risk
35.7,49.15,51.93,Medium Risk
36.83,58.51,10.8,High Risk
44.05,69.95,45.08,Medium Risk
23.65,54.18,34.33,Medium Risk
27.1,81.71,38.88,Medium Risk
28.61,47.47,15.36,Medium Risk
22.11,64.18,64.3,Low Risk
18.87,42.1,76.48,Medium Risk
29.99,45.76,11.29,Medium Risk
21.77,51.2,49.98,Low Risk
35.07,29.23,64.95,Medium Risk
27.71,29.48,25.83,Medium Risk
40.06,65.52,64.46,Medium Risk
36.23,66.42,53.33,Medium Risk
23.82,66.97,75.26,Low Risk
39.88,20.93,79.51,Low Risk
38.72,44.2,14.65,High Risk
28.23,35.24,40.08,Medium Risk
23.59,75.06,49.17,Low Risk
36.56,79.78,20.57,High Risk
19.06,36.62,30.97,Medium Risk
21.18,64.29,80.0,Medium Risk
15.0,27.6,10.0,High Risk
38.29,38.14,42.3,Medium Risk
35.09,27.68,69.57,Medium Risk
37.27,40.64,33.09,Medium Risk
38.58,69.39,42.84,Medium Risk
29.74,82.09,79.7,Medium Risk
32.51,34.69,40.9,Medium Risk
20.33,56.08,19.07,Medium Risk
18.39,68.55,12.77,Medium Risk
36.73,85.46,75.16,Medium Risk
28.79,63.79,29.25,Medium Risk
31.42,36.64,46.9,Medium Risk
37.1,65.6,15.83,High Risk
35.67,41.99,40.83,Medium Risk
32.18,87.16,75.18,Medium Risk
31.54,45.72,43.83,Medium Risk
24.99,68.44,77.59,Medium Risk
16.41,23.24,27.67,Medium Risk
29.48,48.5,44.27,Medium Risk
20.35,85.29,70.81,Medium Risk
27.07,65.29,41.73,Medium Risk
40.28,50.52,27.18,Medium Risk
20.64,84.94,67.41,Medium Risk
17.49,80.62,37.93,Medium Risk
23.25,41.05,45.93,Medium Risk
24.33,60.22,78.81,Medium Risk
36.51,54.94,24.23,High Risk
31.46,64.72,29.19,Medium Risk
38.22,44.62,10.06,High Risk
35.01,40.2,39.94,Medium Risk
27.88,84.19,24.54,Low Risk
39.02,84.47,56.97,Low Risk
19.57,81.75,21.29,Medium Risk
16.42,90.0,56.47,Medium Risk
17.97,71.57,26.66,Medium Risk
35.24,73.54,36.19,Medium Risk
28.0,73.73,33.26,Medium Risk
20.89,54.29,61.81,Low Risk
30.31,49.51,42.05,Medium Risk
19.04,34.04,33.73,Medium Risk
35.77,63.54,69.04,Medium Risk
28.39,38.52,46.1,Medium Risk
26.95,36.89,24.79,Medium Risk
23.09,62.16,72.75,Medium Risk
33.32,48.39,35.22,Medium Risk
26.05,35.67,10.0,Medium Risk
17.56,74.92,46.36,Medium Risk
